Zones in tbadoc but NOT in current Vitalia
================================================================================

Total: 185 zones

Vnum     Builder              Zone Name                                         
300      Mercutio of C.A.W.   Ancalador                                         
301      Matrix of C.A.W.     Campus                                            
302      Matrix of C.A.W.     Campus II                                         
303      Matrix of C.A.W.     Campus III                                        
304      Aten                 Temple of the Bull                                
305      Aten                 Chessboard                                        
306      Kaan                 Newbie Tree                                       
307      Kaan                 Castle                                            
308      Kaan                 Baron Cailveh                                     
309      Kaan                 Keep of Baron Westlawn                            
31       DikuMUD              Southern Midgaard                                 
310      Aten                 Graye Area                                        
311      Kaan                 The Dragon's Teeth                                
312      Kaan                 Leper Island                                      
313      Kaan                 Farmlands of Ofingia                              
314      Kaan                 X'Raantra's Altar of Sacrifice                    
315      Kaan                 McGintey Business District                        
316      Kaan                 McGintey Guild Area                               
317      Kaan                 Wharf                                             
318      Kaan                 Dock Area                                         
319      Kaan                 Yllythad Sea                                      
32       DikuMUD              Midgaard                                          
320      Kaan                 Yllythad Sea II                                   
321      Kaan                 Yllythad Sea III                                  
322      Kaan                 McGintey Bay                                      
323      Kaan                 Caverns of the Pale Man                           
324      Kaan                 Army Encampment                                   
325      Kaan                 Revelry                                           
326      Kaan                 Army Perimeter                                    
33       C.A.W.               Three of Swords                                   
343      None.                God Complex                                       
345      Duluth               Asylum for the Insane                             
346      Whiteknight          God Hall Ext 346 for God Hall Cmplx               
36       Exxon                Chessboard of Midgaard                            
37       Welcor               Capital Sewer System                              
38       Welcor               Capital Sewer System II                           
39       Nivan                Haven                                             
4        trunks shaoden       Rename                                            
40       Redferne             Mines of Moria                                    
41       Redferne             Mines of Moria                                    
42       Guldane              Dragon Chasm                                      
43       Walrus Polar         Arctic Zone                                       
44       Welcor               Orc Camp                                          
45       Gnoff                Woodland Monastery                                
46       Garrison             Ant Hill                                          
5        Unknown              Newbie Farm                                       
50       Rorschach            Great Eastern Desert                              
51       Rorschach            Drow City                                         
52       Rorschach            City of Thalos                                    
53       Andersen             Great Pyramid                                     
54       Duke                 New Thalos                                        
55       Duke                 New Thalos II                                     
555      Casret               Ultima                                            
556      Casret               Ultima II                                         
56       Duke                 New Thalos Wilderness                             
57       Gatia                Zodiac                                            
6        q                    Sea of Souls                                      
60       Quifael              Haon-Dor, Light Forest                            
61       Quifael              Haon-Dor, Light Forest II                         
62       C.A.W.               Orc Enclave                                       
64       C.A.W.               Rand's Tower                                      
65       Depeche              Dwarven Kingdom                                   
653      Parnassus            Apartment                                         
654      Parnassus            Subdivision                                       
70       Redferne             Sewer, First Level                                
71       Redferne             Second Sewer                                      
72       Redferne             Sewer Maze                                        
73       Redferne             Tunnels in the Sewer                              
74       Jojen                Newbie Graveyard                                  
75       Shimmer              Zamba                                             
78       Arina                Gideon                                            
79       DikuMUD              Redferne's Residence                              
83       Meyekul Benighted    Glumgold's Sea                                    
86       Destiny              Duke Kalithorn's Keep                             
9        Mahatma              River Island of Minos                             
90       Rumble               Oasis                                             
96       Kas                  Domiae                                            
